Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Number
KOR;QGDP;TOT;PC_CHGPP;Q;1988-Q1;7.160801;80
KOR;QGDP;TOT;PC_CHGPP;Q;1988-Q2;-2.042605;81
KOR;QGDP;TOT;PC_CHGPP;Q;1988-Q3;3.966569;82
KOR;QGDP;TOT;PC_CHGPP;Q;1988-Q4;2.553869;83
KOR;QGDP;TOT;PC_CHGPP;Q;1989-Q1;-0.068204;84
KOR;QGDP;TOT;PC_CHGPP;Q;1989-Q2;1.358615;85
KOR;QGDP;TOT;PC_CHGPP;Q;1989-Q3;3.357488;86
KOR;QGDP;TOT;PC_CHGPP;Q;1989-Q4;3.487266;87
KOR;QGDP;TOT;PC_CHGPP;Q;1990-Q1;1.210425;88
KOR;QGDP;TOT;PC_CHGPP;Q;1990-Q2;1.753083;89
KOR;QGDP;TOT;PC_CHGPP;Q;1990-Q3;3.886683;90
KOR;QGDP;TOT;PC_CHGPP;Q;1990-Q4;1.592377;91
KOR;QGDP;TOT;PC_CHGPP;Q;1991-Q1;3.627197;92
KOR;QGDP;TOT;PC_CHGPP;Q;1991-Q2;1.436047;93
KOR;QGDP;TOT;PC_CHGPP;Q;1991-Q3;2.290148;94
KOR;QGDP;TOT;PC_CHGPP;Q;1991-Q4;2.334191;95
KOR;QGDP;TOT;PC_CHGPP;Q;1992-Q1;1.932648;96
KOR;QGDP;TOT;PC_CHGPP;Q;1992-Q2;0.659176;97
KOR;QGDP;TOT;PC_CHGPP;Q;1992-Q3;-0.002284;98
KOR;QGDP;TOT;PC_CHGPP;Q;1992-Q4;1.572058;99
KOR;QGDP;TOT;PC_CHGPP;Q;1993-Q1;1.98553;100
KOR;QGDP;TOT;PC_CHGPP;Q;1993-Q2;2.676775;101
KOR;QGDP;TOT;PC_CHGPP;Q;1993-Q3;1.636846;102
KOR;QGDP;TOT;PC_CHGPP;Q;1993-Q4;2.050209;103
KOR;QGDP;TOT;PC_CHGPP;Q;1994-Q1;2.853203;104
KOR;QGDP;TOT;PC_CHGPP;Q;1994-Q2;1.77394;105
KOR;QGDP;TOT;PC_CHGPP;Q;1994-Q3;1.356247;106
KOR;QGDP;TOT;PC_CHGPP;Q;1994-Q4;4.076456;107
KOR;QGDP;TOT;PC_CHGPP;Q;1995-Q1;2.213363;108
KOR;QGDP;TOT;PC_CHGPP;Q;1995-Q2;2.037632;109
KOR;QGDP;TOT;PC_CHGPP;Q;1995-Q3;1.817894;110
KOR;QGDP;TOT;PC_CHGPP;Q;1995-Q4;1.775852;111
KOR;QGDP;TOT;PC_CHGPP;Q;1996-Q1;2.0672;112
KOR;QGDP;TOT;PC_CHGPP;Q;1996-Q2;1.824304;113
KOR;QGDP;TOT;PC_CHGPP;Q;1996-Q3;1.684621;114
KOR;QGDP;TOT;PC_CHGPP;Q;1996-Q4;1.458218;115
KOR;QGDP;TOT;PC_CHGPP;Q;1997-Q1;0.593567;116
KOR;QGDP;TOT;PC_CHGPP;Q;1997-Q2;3.450609;117
KOR;QGDP;TOT;PC_CHGPP;Q;1997-Q3;0.781035;118
KOR;QGDP;TOT;PC_CHGPP;Q;1997-Q4;-0.562712;119
KOR;QGDP;TOT;PC_CHGPP;Q;1998-Q1;-7.022342;120
KOR;QGDP;TOT;PC_CHGPP;Q;1998-Q2;-0.648084;121
KOR;QGDP;TOT;PC_CHGPP;Q;1998-Q3;1.517303;122
KOR;QGDP;TOT;PC_CHGPP;Q;1998-Q4;2.339715;123
KOR;QGDP;TOT;PC_CHGPP;Q;1999-Q1;3.04318;124
KOR;QGDP;TOT;PC_CHGPP;Q;1999-Q2;4.517302;125
KOR;QGDP;TOT;PC_CHGPP;Q;1999-Q3;2.602457;126
KOR;QGDP;TOT;PC_CHGPP;Q;1999-Q4;2.991074;127
KOR;QGDP;TOT;PC_CHGPP;Q;2000-Q1;1.64465;128
KOR;QGDP;TOT;PC_CHGPP;Q;2000-Q2;1.54484;129
KOR;QGDP;TOT;PC_CHGPP;Q;2000-Q3;2.839839;130
KOR;QGDP;TOT;PC_CHGPP;Q;2000-Q4;-0.720083;131
KOR;QGDP;TOT;PC_CHGPP;Q;2001-Q1;1.243594;132
KOR;QGDP;TOT;PC_CHGPP;Q;2001-Q2;1.578915;133
KOR;QGDP;TOT;PC_CHGPP;Q;2001-Q3;1.473795;134
KOR;QGDP;TOT;PC_CHGPP;Q;2001-Q4;1.432066;135
KOR;QGDP;TOT;PC_CHGPP;Q;2002-Q1;2.535501;136
KOR;QGDP;TOT;PC_CHGPP;Q;2002-Q2;1.862197;137
KOR;QGDP;TOT;PC_CHGPP;Q;2002-Q3;2.343979;138
KOR;QGDP;TOT;PC_CHGPP;Q;2002-Q4;0.803961;139
KOR;QGDP;TOT;PC_CHGPP;Q;2003-Q1;-0.765957;140
KOR;QGDP;TOT;PC_CHGPP;Q;2003-Q2;0.005254;141
KOR;QGDP;TOT;PC_CHGPP;Q;2003-Q3;2.09956;142
KOR;QGDP;TOT;PC_CHGPP;Q;2003-Q4;2.45491;143
KOR;QGDP;TOT;PC_CHGPP;Q;2004-Q1;1.234183;144
KOR;QGDP;TOT;PC_CHGPP;Q;2004-Q2;0.734028;145
KOR;QGDP;TOT;PC_CHGPP;Q;2004-Q3;0.565089;146
KOR;QGDP;TOT;PC_CHGPP;Q;2004-Q4;0.664083;147
KOR;QGDP;TOT;PC_CHGPP;Q;2005-Q1;0.751001;148
KOR;QGDP;TOT;PC_CHGPP;Q;2005-Q2;2.104365;149
KOR;QGDP;TOT;PC_CHGPP;Q;2005-Q3;1.339231;150
KOR;QGDP;TOT;PC_CHGPP;Q;2005-Q4;1.088311;151
KOR;QGDP;TOT;PC_CHGPP;Q;2006-Q1;1.66712;152
KOR;QGDP;TOT;PC_CHGPP;Q;2006-Q2;0.668194;153
KOR;QGDP;TOT;PC_CHGPP;Q;2006-Q3;1.55022;154
KOR;QGDP;TOT;PC_CHGPP;Q;2006-Q4;0.873516;155
KOR;QGDP;TOT;PC_CHGPP;Q;2007-Q1;1.653414;156
KOR;QGDP;TOT;PC_CHGPP;Q;2007-Q2;1.787255;157
KOR;QGDP;TOT;PC_CHGPP;Q;2007-Q3;1.003428;158
KOR;QGDP;TOT;PC_CHGPP;Q;2007-Q4;2.316832;159
KOR;QGDP;TOT;PC_CHGPP;Q;2008-Q1;0.489751;160
KOR;QGDP;TOT;PC_CHGPP;Q;2008-Q2;0.371226;161
KOR;QGDP;TOT;PC_CHGPP;Q;2008-Q3;0.712836;162
KOR;QGDP;TOT;PC_CHGPP;Q;2008-Q4;-3.162597;163
KOR;QGDP;TOT;PC_CHGPP;Q;2009-Q1;0.207362;164
KOR;QGDP;TOT;PC_CHGPP;Q;2009-Q2;1.238707;165
KOR;QGDP;TOT;PC_CHGPP;Q;2009-Q3;2.784654;166
KOR;QGDP;TOT;PC_CHGPP;Q;2009-Q4;0.946754;167
KOR;QGDP;TOT;PC_CHGPP;Q;2010-Q1;2.007939;168
KOR;QGDP;TOT;PC_CHGPP;Q;2010-Q2;1.82862;169
KOR;QGDP;TOT;PC_CHGPP;Q;2010-Q3;1.045142;170
KOR;QGDP;TOT;PC_CHGPP;Q;2010-Q4;1.355657;171
KOR;QGDP;TOT;PC_CHGPP;Q;2011-Q1;0.843262;172
KOR;QGDP;TOT;PC_CHGPP;Q;2011-Q2;0.578047;173
KOR;QGDP;TOT;PC_CHGPP;Q;2011-Q3;0.434161;174
KOR;QGDP;TOT;PC_CHGPP;Q;2011-Q4;0.633556;175
KOR;QGDP;TOT;PC_CHGPP;Q;2012-Q1;0.680064;176
KOR;QGDP;TOT;PC_CHGPP;Q;2012-Q2;0.665695;177
KOR;QGDP;TOT;PC_CHGPP;Q;2012-Q3;0.414737;178
KOR;QGDP;TOT;PC_CHGPP;Q;2012-Q4;0.631236;179
KOR;QGDP;TOT;PC_CHGPP;Q;2013-Q1;0.748384;180
KOR;QGDP;TOT;PC_CHGPP;Q;2013-Q2;1.143894;181
KOR;QGDP;TOT;PC_CHGPP;Q;2013-Q3;0.883545;182
KOR;QGDP;TOT;PC_CHGPP;Q;2013-Q4;0.918167;183
KOR;QGDP;TOT;PC_CHGPP;Q;2014-Q1;0.897067;184
KOR;QGDP;TOT;PC_CHGPP;Q;2014-Q2;0.709927;185
KOR;QGDP;TOT;PC_CHGPP;Q;2014-Q3;0.365763;186
KOR;QGDP;TOT;PC_CHGPP;Q;2014-Q4;0.563586;187
KOR;QGDP;TOT;PC_CHGPP;Q;2015-Q1;0.878467;188
KOR;QGDP;TOT;PC_CHGPP;Q;2015-Q2;0.22559;189
KOR;QGDP;TOT;PC_CHGPP;Q;2015-Q3;1.52266;190
KOR;QGDP;TOT;PC_CHGPP;Q;2015-Q4;0.749348;191
KOR;QGDP;TOT;PC_CHGPP;Q;2016-Q1;0.35066;192
KOR;QGDP;TOT;PC_CHGPP;Q;2016-Q2;0.975072;193
KOR;QGDP;TOT;PC_CHGPP;Q;2016-Q3;0.502262;194
KOR;QGDP;TOT;PC_CHGPP;Q;2016-Q4;0.827585;195
KOR;QGDP;TOT;PC_CHGPP;Q;2017-Q1;0.918203;196
KOR;QGDP;TOT;PC_CHGPP;Q;2017-Q2;0.522902;197
KOR;QGDP;TOT;PC_CHGPP;Q;2017-Q3;1.451251;198
KOR;QGDP;TOT;PC_CHGPP;Q;2017-Q4;-0.104624;199
KOR;QGDP;TOT;PC_CHGPP;Q;2018-Q1;0.971484;200
KOR;QGDP;TOT;PC_CHGPP;Q;2018-Q2;0.577461;201
KOR;QGDP;TOT;PC_CHGPP;Q;2018-Q3;0.45845;202
KOR;QGDP;TOT;PC_CHGPP;Q;2018-Q4;0.929952;203
KOR;QGDP;TOT;PC_CHGPP;Q;2019-Q1;-0.369705;204
KOR;QGDP;TOT;PC_CHGPP;Q;2019-Q2;1.039903;205
KOR;QGDP;TOT;PC_CHGPP;Q;2019-Q3;0.391398;206
